"City, Country",AQI_PM2_5,PM2_5,Soiling_Rate,lat,lng,PM10
"Funchal, PT",21.0,20.279904306220097,0.004,32.64753723,-16.90501595,15.760765550239237
"Fushun, CN",87.99730458221025,0.0,0.079,41.88107681,123.9570694,0.0
"Fuzhou, CN",60.6711590296496,0.0,0.039,26.07423019,119.29686737,0.0
"Gandhinagar, IN",106.11263736263736,110.23648648648648,0.104,23.22334671,72.64770508,70.68018018018019
"Gasteiz / Vitoria, ES",38.493261455525605,38.3370288248337,0.016,42.84685898,-2.67158604,13.354767184035476
"Gdańsk, PL",48.285714285714285,47.9064587973274,0.024,54.35603333,18.64612007,16.510022271714924
"Gent, BE",41.967845659163984,41.60416666666666,0.018,51.05381775,3.72227192,19.38095238095238
"Ghāziābād, IN",143.51373626373626,147.0653153153153,0.151,28.66908073,77.43041229,118.1891891891892
"Gifu-shi, JP",33.97289972899729,0.0,0.013,35.4230957,136.76275635,0.0
"Glasgow, GB",22.21024258760108,0.0,0.004,55.86568451,-4.25713778,0.0
"Granada, ES",48.58108108108108,46.58482142857143,0.024,37.17648315,-3.59793711,30.254464285714285
"Graz, AT",36.35175879396985,0.0,0.015,47.06954956,15.43818283,0.0
"Grenoble, FR",41.1008174386921,0.0,0.018,45.19425583,5.73166895,0.0
"Groningen, NL",33.57681940700809,0.0,0.013,53.21446991,6.56648111,0.0
"Guadalajara, MX",69.55270655270655,0.0,0.052,20.6751709,-103.34732819,0.0
"Guangzhou, CN",67.48247978436657,0.0,0.049,23.12907982,113.26435852,0.0
"Guatemala City, GT",47.45059288537549,47.42913385826772,0.023,14.64198017,-90.513237,19.822222222222223
"Guiyang, CN",61.84366576819407,0.0,0.04,26.64759064,106.63018799,0.0
"Gwangju, KR",56.00269541778976,59.03991130820399,0.033,35.16243744,126.91033936,27.210643015521065
"Győr, HU",45.30689655172414,0.0,0.022,47.68405151,17.63510132,0.0
"Göteborg, SE",24.429752066115704,0.0,0.006,57.70887,11.97456,0.0
"Haarlem, NL",39.81940700808625,0.0,0.017,52.37949371,4.6377182,0.0
"Haifa, IL",58.45205479452055,57.98423423423424,0.036,32.81912231,34.99838638,29.986486486486488
"Haikou, CN",48.14824797843666,0.0,0.024,20.04470062,110.19998169,0.0
"Haiphong, VN",16.26341463414634,0.0,-0.0,20.8647213,106.68383026,0.0
"Halifax, CA",19.450134770889488,0.0,0.002,44.64624405,-63.57356644,0.0
"Hamburg, DE",39.97837837837838,0.0,0.017,53.55725479,9.99596596,0.0
"Hamilton, CA",29.514824797843666,0.0,0.009,39.73892975,-122.01522827,0.0
"Hangzhou, CN",84.55256064690028,0.0,0.074,30.24592018,120.21079254,0.0
"Hanoi, VN",79.90835579514825,0.0,0.067,20.99848557,105.7004776,0.0
"Harbin, CN",82.87870619946092,0.0,0.071,45.80335999,126.53513336,0.0
"Hartford, US",28.80323450134771,28.2860310421286,0.009,41.76577377,-72.6733551,12.119733924611973
"Hefei, CN",88.38005390835579,0.0,0.08,31.82052612,117.22711182,0.0
"Hegang, CN",55.59299191374663,0.0,0.031,47.35012054,130.29801941,0.0
"Helsinki, FI",21.92265193370166,0.0,0.004,60.16980743,24.93812752,0.0
"Hiroshima, JP",38.04043126684636,0.0,0.016,34.38978195,132.44096375,0.0
"Ho Chi Minh City, VN",70.13725490196079,0.0,0.054,10.77653027,106.70097351,0.0
"Hobart, AU",10.819407008086252,10.23059866962306,0.0,-42.88000107,147.32000732,5.1529933481153
"Hohhot, CN",70.21832884097034,0.0,0.054,40.84262085,111.74868011,0.0
"Hong Kong, HK",51.78167115902965,0.0,0.026,22.27533913,114.16545868,0.0
"Honolulu, US",16.669398907103826,17.467415730337077,-0.0,21.30991936,-157.8581543,11.783018867924527
"Houston, US",39.23180592991914,38.85587583148559,0.017,29.76080322,-95.36950684,0.0
"Hsinchu, TW",41.31266846361186,44.19733924611973,0.018,24.80726814,120.96849823,21.17960088691796
"Huelva, ES",35.945945945945944,34.832589285714285,0.014,37.25714493,-6.94953823,21.176339285714285
"Huế, VN",16.428571428571427,0.0,-0.0,16.47150612,107.56671143,0.0
"Hyderabad, IN",109.66847826086956,115.64732142857144,0.108,17.36599922,78.47599792,69.759009009009
"Hāpur, IN",135.49725274725276,138.44144144144144,0.141,28.74046898,77.77690125,102.9144144144144
"Incheon, KR",62.460916442048514,66.49889135254989,0.042,37.47809219,126.64028931,32.61640798226164
"Indianapolis, US",38.68258426966292,38.4954128440367,0.016,39.76845169,-86.15621185,18.85238095238095
"Isfahan, IR",96.63106796116504,0.0,0.092,32.70920563,51.64126587,0.0
"Islamabad, PK",109.63478260869566,0.0,0.108,33.72000122,73.05999756,0.0
"Istanbul, TR",62.94054054054054,64.74666666666667,0.042,41.01300049,28.96380043,31.093126385809317
"Ivano-Frankivsk, UA",20.303571428571427,20.303571428571427,0.003,48.92277908,24.71055984,8.232142857142858
"Jackson, US",35.42048517520216,34.43680709534368,0.014,32.30289841,-90.18348694,15.758314855875833
"Jacksonville, US",34.63072776280323,34.651884700665185,0.013,30.32596779,-81.65676117,16.93569844789357
"Jaipur, IN",124.98076923076924,127.58783783783784,0.127,26.92103958,75.7943573,79.34009009009009
"Jakarta, ID",91.58490566037736,87.41241685144124,0.085,-6.20823908,106.83882141,38.22222222222222
"Jeju City, KR",50.41509433962264,51.97782705099778,0.025,33.51013565,126.52193451,27.002217294900223
"Jeonju, KR",60.57412398921833,64.6740576496674,0.039,35.81700134,127.15000153,31.773835920177383
"Jerusalem, IL",55.38082191780822,54.38288288288288,0.031,31.77882385,35.22576141,32.32432432432432
"Jieyang, CN",70.26684636118598,0.0,0.054,23.54978943,116.37281036,0.0
"Jinan, CN",93.50943396226415,0.0,0.087,36.65184021,117.12008667,0.0
"Johannesburg, ZA",72.93243243243244,0.0,0.056,-26.20145226,28.04548836,0.0
"Kagoshima, JP",38.13550135501355,0.0,0.016,31.5859642,130.56106567,0.0
"Kampala, UG",120.83382789317508,0.0,0.122,0.31771401,32.58135223,0.0
"Kanazawa, JP",28.702247191011235,0.0,0.009,36.56000137,136.64001465,0.0
"Kaohsiung, TW",62.83018867924528,66.78935698447894,0.042,22.62054825,120.31204987,36.328159645232816
"Karachi, PK",108.92628205128206,0.0,0.107,24.87193871,66.98806,0.0
"Karaj, IR",101.43558282208588,0.0,0.098,35.82249069,50.99046707,0.0
"Karlsruhe, DE",37.700808625336926,0.0,0.015,49.00808334,8.40375614,0.0
"Kassel, DE",35.78436657681941,0.0,0.014,51.31842422,9.49322701,0.0
"Kathmandu, NP",104.25876010781673,112.58980044345898,0.102,27.71201706,85.31295013,45.39464882943144
"Katowice, PL",65.74489795918367,64.57865168539325,0.046,50.25860596,19.02042007,23.5
"Kaunas, LT",40.506802721088434,0.0,0.018,54.89687347,23.89242554,0.0
"Kayseri, TR",57.722371967654986,58.45011086474501,0.034,38.72278976,35.48904037,45.91352549889135
"Kecskemét, HU",47.528301886792455,0.0,0.023,46.90643692,19.68972206,0.0
"Keelung, TW",33.15363881401617,35.12638580931264,0.013,25.13170242,121.74451447,17.254988913525498
"Kerman, IR",75.29136690647482,0.0,0.061,30.29240799,57.06456375,0.0
"Kermanshah, IR",64.55555555555556,0.0,0.045,34.32394028,47.07358932,0.0
"Khorramabad, IR",73.82594936708861,0.0,0.058,33.48421097,48.35382843,0.0
"Khorramshahr, IR",114.95,0.0,0.114,30.43330956,48.17798615,0.0
"Kitchener, CA",28.90566037735849,0.0,0.009,43.44978714,-80.48908997,0.0
"Klerksdorp, ZA",22.952380952380956,0.0,0.004,-26.87049103,26.66446495,0.0
"Kobe, JP",37.44173441734417,0.0,0.015,34.67998886,135.16998291,0.0
"Kochi, JP",36.0,0.0,0.015,33.56243515,133.53752136,0.0
"Kolkata, IN",110.87061994609164,0.0,0.109,22.56557274,88.37021637,0.0
"Konya, TR",88.45283018867924,92.51662971175166,0.08,37.87165833,32.49895859,45.41241685144124
"Košice, SK",57.79514824797844,0.0,0.034,48.71710968,21.25978279,0.0
"Kraków, PL",61.80487804878049,63.09799554565701,0.04,50.05480957,19.927845,25.681514476614694
"Krasnoyarsk, RU",31.24728260869565,33.76681614349776,0.011,56.01005173,92.8526001,0.0
"Kryvyi Rih, UA",14.25,14.25,0.0,47.93434143,33.43420029,5.919642857142857
"Kumamoto, JP",43.118598382749326,0.0,0.02,32.80093002,130.70063782,0.0
"Kunming, CN",60.79245283018868,0.0,0.039,24.8800106,102.83296204,0.0
"Kyiv, UA",28.085324232081916,28.085324232081916,0.009,50.44974899,30.52371788,6.825688073394495
"Kyoto, JP",40.33692722371968,0.0,0.018,35.10606003,135.72740173,0.0
"Köln, DE",36.23888888888889,0.0,0.015,50.94053268,6.9599061,0.0
"Kütahya, TR",75.48857142857143,75.01190476190476,0.061,39.41989136,29.98519135,50.84727272727272
"Lahore, PK",190.5866141732284,0.0,0.394,31.56191826,74.34807587,0.0
"Lampang, TH",69.98382749326146,0.0,0.052,18.29069328,99.49891663,0.0
"Lanzhou, CN",99.30188679245283,0.0,0.096,36.06137848,103.83416748,0.0
"Las Palmas de Gran Canaria, ES",31.302702702702703,31.517777777777777,0.011,28.12482643,-15.43002129,28.011111111111116
"Launceston, AU",14.064690026954178,12.87361419068736,0.0,-41.43999863,147.13999939,5.592017738359202
"Leeds, GB",39.84097035040431,0.0,0.017,53.79969025,-1.54910302,0.0
"Leicester, GB",35.36657681940701,0.0,0.014,52.63486099,-1.12906003,0.0
"Lhasa, CN",27.555256064690028,0.0,0.008,29.65226936,91.17192078,0.0
"Lille, FR",42.74857142857143,0.0,0.019,50.63128662,3.06275296,0.0
"Lima, PE",83.43126684636118,0.0,0.073,-12.20010853,-76.28505707,0.0
"Limassol, CY",53.24528301886792,0.0,0.028,34.68529129,33.03326416,0.0
"Linz, AT",43.678378378378376,0.0,0.02,48.30608749,14.28643703,0.0
"Lisbon, PT",29.90782122905028,29.6375,0.009,39.00139236,-9.16674137,17.461346633416458
"Little Rock, US",34.67857142857143,34.20181405895691,0.013,34.74874496,-92.27510834,0.0
"Liverpool, GB",33.22911051212938,0.0,0.013,53.41077805,-2.97783804,0.0
"Livorno, IT",40.79076086956522,0.0,0.018,43.55194092,10.30832958,0.0
"Liège, BE",30.10576923076923,30.1513353115727,0.01,50.64390945,5.571558,14.468842729970326
"London, CA",27.83827493261456,0.0,0.008,36.48064804,-119.44284058,0.0
"London, GB",37.65768194070081,0.0,0.015,51.50015259,-0.12623601,0.0
"Los Angeles, US",48.83827493261455,47.528888888888886,0.024,34.05223846,-118.24334717,24.162946428571427
"Los Ángeles, CL",34.83739837398374,35.16035634743875,0.013,-31.76133728,-71.31877136,30.25277161862528
"Lucknow, IN",136.45604395604394,139.62387387387386,0.142,26.85000038,80.94999695,91.47522522522524
"Lviv, UA",40.369369369369366,40.369369369369366,0.018,49.83968353,24.02971649,19.306306306306308
"Lyon, FR",40.47138964577657,0.0,0.018,45.76730728,4.83430719,0.0
"Maastricht, NL",38.692934782608695,0.0,0.016,50.84984589,5.6872592,0.0
"Macau, MO",51.73854447439353,0.0,0.026,22.18684006,113.54293823,0.0
"Madison, US",31.506738544474395,32.12416851441242,0.011,43.07392502,-89.38524628,13.944444444444445
"Madrid, ES",38.61185983827493,37.89356984478936,0.016,40.41669083,-3.70034599,18.452328159645237
"Malmö, SE",29.29891304347826,0.0,0.009,55.60331345,13.0013113,0.0
"Manama, BH",130.9533073929961,0.0,0.134,26.22350502,50.58224487,0.0
"Manchester, GB",36.328840970350406,0.0,0.015,53.48071289,-2.23437595,0.0
"Manhattan, US",27.06738544474393,27.789356984478932,0.008,40.75325012,-74.00380707,0.0
"Marseille, FR",42.50270270270271,0.0,0.019,43.29502106,5.37448692,0.0
"Mashhad, IR",82.3975155279503,0.0,0.071,36.29749298,59.6059227,0.0
"Matsuyama, JP",41.40970350404313,0.0,0.018,33.83700562,132.77154541,0.0
"Medellín, CO",61.68021680216802,0.0,0.04,6.24433804,-75.57355499,0.0
"Melbourne, AU",24.665768194070083,24.753880266075388,0.006,-37.81546021,144.96716309,14.869179600886918
"Memphis, US",34.84636118598383,34.86474501108648,0.013,35.14337921,-90.05213928,0.0
"Metz, FR",39.73559322033898,0.0,0.017,49.11446381,6.17209005,0.0
"Mexico City, MX",62.55795148247979,0.0,0.042,19.43267822,-99.13420868,0.0
"Miami, US",28.9811320754717,29.4390243902439,0.009,25.77508354,-80.19470215,15.671840354767184
"Middelburg, ZA",48.20612813370474,0.0,0.024,-25.76609039,29.45779991,0.0
"Milan, IT",67.90785907859079,0.0,0.049,45.46361923,9.18811607,0.0
"Milwaukee, US",33.71159029649596,34.108647450110865,0.013,43.04107285,-87.90942383,16.161862527716185
"Miskolc, HU",56.43835616438356,0.0,0.033,48.10433578,20.7916584,0.0
"Mississauga, CA",27.06738544474393,0.0,0.008,43.59129333,-79.6502533,0.0
"Miyazaki, JP",44.14324324324324,0.0,0.021,31.91699982,131.41700745,0.0
"Modena, IT",59.85405405405405,0.0,0.037,44.64709854,10.92519188,0.0
"Mokpo, KR",52.37196765498652,54.05764966740576,0.027,34.79685593,126.39441681,27.662971175166295
"Monterrey, MX",64.1638418079096,0.0,0.045,25.66469765,-100.3108902,0.0
"Montpellier, FR",36.544474393531,0.0,0.015,43.60829163,3.87960291,0.0
"Montréal, CA",29.97035040431267,0.0,0.009,45.50906372,-73.55335999,0.0
"Morelia, MX",59.57846153846154,0.0,0.037,19.70187187,-101.19234467,0.0
"Moscow, RU",39.01418439716312,38.17403314917127,0.017,55.75222015,37.61555862,16.361878453038674
"Mumbai, IN",106.37196765498652,114.20177383592018,0.104,18.96904755,72.82118225,84.99324324324324
"Muzaffarnagar, IN",152.59615384615384,156.30180180180182,0.166,29.47255707,77.70713043,107.55630630630633
"Mysore, IN",62.744505494505496,63.299549549549546,0.042,12.3084383,76.65393066,38.3490990990991
"Málaga, ES",43.054054054054056,41.47767857142857,0.02,36.7196312,-4.42000008,21.828125
"Münster, DE",37.57821229050279,0.0,0.015,52.98540497,10.09009171,0.0
"Nagano, JP",29.506738544474395,0.0,0.009,36.64403152,138.10171509,0.0
"Nagasaki, JP",36.22641509433962,0.0,0.015,32.78348923,129.82772827,0.0
"Nagoya, JP",34.506738544474395,0.0,0.013,35.15694427,136.91304016,0.0
"Nagpur, IN",107.14488636363636,114.82870370370372,0.106,21.15261841,79.0881958,65.6986301369863
"Naha, JP",23.75138121546961,0.0,0.005,26.20046997,127.72858429,0.0
"Nakhon Pathom, TH",59.54716981132076,0.0,0.037,13.82313633,100.05728149,0.0
"Namur, BE",27.961290322580645,27.937313432835825,0.008,50.46492386,4.86506319,12.323442136498516
"Nanchang, CN",82.24258760107817,0.0,0.071,28.68268394,115.85816956,0.0
"Nancy, FR",42.11217948717949,0.0,0.019,48.69078064,6.18246603,0.0
"Nanjing, CN",79.76280323450135,0.0,0.067,32.05838013,118.79647064,0.0
"Nanning, CN",76.76819407008087,0.0,0.062,22.81723595,108.36626434,0.0
"Nantes, FR",33.80397727272727,0.0,0.013,47.21826553,-1.557181,0.0
"Naples, IT",55.02164502164502,0.0,0.031,40.83998489,14.25254154,0.0
"Nara-shi, JP",38.64690026954178,0.0,0.016,34.68444061,135.80499268,0.0
"Nashik, IN",95.67065868263474,101.6004842615012,0.09,20.05602264,73.64289093,54.46588235294118
